BST Inserting 1330573317, traversed counter is 8
AVL Inserting 1330573317, traversed counter is 16
BST Inserting 603570492, traversed counter is 8
AVL Inserting 603570492, traversed counter is 128
BST Inserting 1687926652, traversed counter is 4
AVL Inserting 1687926652, traversed counter is 10
BST Inserting 660260756, traversed counter is 7
AVL Inserting 660260756, traversed counter is 9
BST Inserting 959997301, traversed counter is 10
AVL Inserting 959997301, traversed counter is 202
BST Inserting 485560280, traversed counter is 9
AVL Inserting 485560280, traversed counter is 145
BST Inserting 402724286, traversed counter is 7
AVL Inserting 402724286, traversed counter is 10
BST Inserting 593209441, traversed counter is 7
AVL Inserting 593209441, traversed counter is 9
BST Inserting 1194953865, traversed counter is 8
AVL Inserting 1194953865, traversed counter is 27
BST Inserting 894429689, traversed counter is 10
AVL Inserting 894429689, traversed counter is 11
BST Inserting 364228444, traversed counter is 8
AVL Inserting 364228444, traversed counter is 27
BST Inserting 1947346619, traversed counter is 5
AVL Inserting 1947346619, traversed counter is 207
BST Inserting 221558440, traversed counter is 10
AVL Inserting 221558440, traversed counter is 25
BST Inserting 270744729, traversed counter is 8
AVL Inserting 270744729, traversed counter is 167
BST Inserting 1063958031, traversed counter is 10
AVL Inserting 1063958031, traversed counter is 17
BST Inserting 1633108117, traversed counter is 9
AVL Inserting 1633108117, traversed counter is 16
BST Inserting 2114738097, traversed counter is 5
AVL Inserting 2114738097, traversed counter is 217
BST Inserting 2007905771, traversed counter is 7
AVL Inserting 2007905771, traversed counter is 223
BST Inserting 1469834481, traversed counter is 14
AVL Inserting 1469834481, traversed counter is 10
BST Inserting 822890675, traversed counter is 6
AVL Inserting 822890675, traversed counter is 228
BST Inserting 1610120709, traversed counter is 11
AVL Inserting 1610120709, traversed counter is 192
BST Inserting 791698927, traversed counter is 6
AVL Inserting 791698927, traversed counter is 237
BST Inserting 631704567, traversed counter is 7
AVL Inserting 631704567, traversed counter is 171
BST Inserting 498777856, traversed counter is 9
AVL Inserting 498777856, traversed counter is 177
BST Inserting 1255179497, traversed counter is 9
AVL Inserting 1255179497, traversed counter is 10
BST Inserting 524872353, traversed counter is 7
AVL Inserting 524872353, traversed counter is 180
BST Inserting 327254586, traversed counter is 6
AVL Inserting 327254586, traversed counter is 9
BST Inserting 1572276965, traversed counter is 11
AVL Inserting 1572276965, traversed counter is 201
BST Inserting 269455306, traversed counter is 9
AVL Inserting 269455306, traversed counter is 10
BST Inserting 1703964683, traversed counter is 5
AVL Inserting 1703964683, traversed counter is 201
BST Inserting 352406219, traversed counter is 7
AVL Inserting 352406219, traversed counter is 166
BST Inserting 1600028624, traversed counter is 12
AVL Inserting 1600028624, traversed counter is 17
BST Inserting 160051528, traversed counter is 10
AVL Inserting 160051528, traversed counter is 181
BST Inserting 2040332871, traversed counter is 7
AVL Inserting 2040332871, traversed counter is 11
BST Inserting 112805732, traversed counter is 13
AVL Inserting 112805732, traversed counter is 16
BST Inserting 1120048829, traversed counter is 8
AVL Inserting 1120048829, traversed counter is 244
BST Inserting 378409503, traversed counter is 9
AVL Inserting 378409503, traversed counter is 9
BST Inserting 515530019, traversed counter is 8
AVL Inserting 515530019, traversed counter is 193
BST Inserting 1713258270, traversed counter is 6
AVL Inserting 1713258270, traversed counter is 221
BST Inserting 1573363368, traversed counter is 12
AVL Inserting 1573363368, traversed counter is 46
BST Inserting 1409959708, traversed counter is 13
AVL Inserting 1409959708, traversed counter is 10
BST Inserting 2077486715, traversed counter is 7
AVL Inserting 2077486715, traversed counter is 188
BST Inserting 1373226340, traversed counter is 11
AVL Inserting 1373226340, traversed counter is 211
BST Inserting 1631518149, traversed counter is 12
AVL Inserting 1631518149, traversed counter is 182
BST Inserting 200747796, traversed counter is 11
AVL Inserting 200747796, traversed counter is 45
BST Inserting 289700723, traversed counter is 7
AVL Inserting 289700723, traversed counter is 174
BST Inserting 1117142618, traversed counter is 9
AVL Inserting 1117142618, traversed counter is 11
BST Inserting 168002245, traversed counter is 11
AVL Inserting 168002245, traversed counter is 190
BST Inserting 150122846, traversed counter is 11
AVL Inserting 150122846, traversed counter is 196
BST Inserting 439493451, traversed counter is 8
AVL Inserting 439493451, traversed counter is 193
BST Inserting 990892921, traversed counter is 8
AVL Inserting 990892921, traversed counter is 251
BST Inserting 1760243555, traversed counter is 9
AVL Inserting 1760243555, traversed counter is 209
BST Inserting 1231192379, traversed counter is 10
AVL Inserting 1231192379, traversed counter is 244
BST Inserting 1622597488, traversed counter is 13
AVL Inserting 1622597488, traversed counter is 202
BST Inserting 111537764, traversed counter is 14
AVL Inserting 111537764, traversed counter is 207
BST Inserting 338888228, traversed counter is 8
AVL Inserting 338888228, traversed counter is 16
BST Inserting 2147469841, traversed counter is 4
AVL Inserting 2147469841, traversed counter is 225
BST Inserting 438792350, traversed counter is 9
AVL Inserting 438792350, traversed counter is 10
BST Inserting 1911165193, traversed counter is 7
AVL Inserting 1911165193, traversed counter is 233
BST Inserting 269441500, traversed counter is 10
AVL Inserting 269441500, traversed counter is 201
BST Inserting 2142757034, traversed counter is 6
AVL Inserting 2142757034, traversed counter is 17
BST Inserting 116087764, traversed counter is 14
AVL Inserting 116087764, traversed counter is 224
BST Inserting 1869470124, traversed counter is 7
AVL Inserting 1869470124, traversed counter is 27
BST Inserting 155324914, traversed counter is 12
AVL Inserting 155324914, traversed counter is 230
BST Inserting 8936987, traversed counter is 5
AVL Inserting 8936987, traversed counter is 10
BST Inserting 1982275856, traversed counter is 10
AVL Inserting 1982275856, traversed counter is 248
BST Inserting 1275373743, traversed counter is 8
AVL Inserting 1275373743, traversed counter is 255
BST Inserting 387346491, traversed counter is 10
AVL Inserting 387346491, traversed counter is 235
BST Inserting 350322227, traversed counter is 9
AVL Inserting 350322227, traversed counter is 237
BST Inserting 841148365, traversed counter is 7
AVL Inserting 841148365, traversed counter is 17
BST Inserting 1960709859, traversed counter is 4
AVL Inserting 1960709859, traversed counter is 39
BST Inserting 1760281936, traversed counter is 10
AVL Inserting 1760281936, traversed counter is 264
BST Inserting 771151432, traversed counter is 7
AVL Inserting 771151432, traversed counter is 27
BST Inserting 1186452551, traversed counter is 10
AVL Inserting 1186452551, traversed counter is 285
BST Inserting 1244316437, traversed counter is 11
AVL Inserting 1244316437, traversed counter is 11
BST Inserting 971899228, traversed counter is 11
AVL Inserting 971899228, traversed counter is 307
BST Inserting 1476153275, traversed counter is 13
AVL Inserting 1476153275, traversed counter is 259
BST Inserting 213975407, traversed counter is 12
AVL Inserting 213975407, traversed counter is 10
BST Inserting 1139901474, traversed counter is 11
AVL Inserting 1139901474, traversed counter is 302
BST Inserting 1626276121, traversed counter is 14
AVL Inserting 1626276121, traversed counter is 11
BST Inserting 653468858, traversed counter is 8
AVL Inserting 653468858, traversed counter is 234
BST Inserting 2130794395, traversed counter is 7
AVL Inserting 2130794395, traversed counter is 10
BST Inserting 1239036029, traversed counter is 12
AVL Inserting 1239036029, traversed counter is 52
BST Inserting 1884661237, traversed counter is 8
AVL Inserting 1884661237, traversed counter is 284
BST Inserting 1605908235, traversed counter is 13
AVL Inserting 1605908235, traversed counter is 277
BST Inserting 1350573793, traversed counter is 7
AVL Inserting 1350573793, traversed counter is 318
BST Inserting 76065818, traversed counter is 13
AVL Inserting 76065818, traversed counter is 270
BST Inserting 1605894428, traversed counter is 14
AVL Inserting 1605894428, traversed counter is 10
BST Inserting 1789366143, traversed counter is 8
AVL Inserting 1789366143, traversed counter is 299
BST Inserting 1987231011, traversed counter is 9
AVL Inserting 1987231011, traversed counter is 304
BST Inserting 1875335928, traversed counter is 9
AVL Inserting 1875335928, traversed counter is 79
BST Inserting 1784639529, traversed counter is 9
AVL Inserting 1784639529, traversed counter is 293
BST Inserting 2103318776, traversed counter is 6
AVL Inserting 2103318776, traversed counter is 299
BST Inserting 1597322404, traversed counter is 13
AVL Inserting 1597322404, traversed counter is 335
BST Inserting 1939964443, traversed counter is 6
AVL Inserting 1939964443, traversed counter is 302
BST Inserting 2112255763, traversed counter is 7
AVL Inserting 2112255763, traversed counter is 10
BST Inserting 1432114613, traversed counter is 11
AVL Inserting 1432114613, traversed counter is 346
BST Inserting 1067854538, traversed counter is 11
AVL Inserting 1067854538, traversed counter is 355
BST Inserting 352118606, traversed counter is 10
AVL Inserting 352118606, traversed counter is 11
BST Inserting 1782436840, traversed counter is 10
AVL Inserting 1782436840, traversed counter is 11
BST Inserting 1909002904, traversed counter is 8
AVL Inserting 1909002904, traversed counter is 320
BST Inserting 165344818, traversed counter is 12
AVL Inserting 165344818, traversed counter is 281
BST Inserting 1395235128, traversed counter is 14
AVL Inserting 1395235128, traversed counter is 358
BST Inserting 532670688, traversed counter is 8
AVL Inserting 532670688, traversed counter is 16
BST Inserting 1351797369, traversed counter is 8
AVL Inserting 1351797369, traversed counter is 12
BST Inserting 492067917, traversed counter is 10
AVL Inserting 492067917, traversed counter is 272
BST Inserting 1504569917, traversed counter is 12
AVL Inserting 1504569917, traversed counter is 362
BST Inserting 680466996, traversed counter is 8
AVL Inserting 680466996, traversed counter is 265
BST Inserting 706043324, traversed counter is 9
AVL Inserting 706043324, traversed counter is 10
BST Inserting 496987743, traversed counter is 11
AVL Inserting 496987743, traversed counter is 11
BST Inserting 159259470, traversed counter is 13
AVL Inserting 159259470, traversed counter is 11
BST Inserting 1359512183, traversed counter is 9
AVL Inserting 1359512183, traversed counter is 18
BST Inserting 480298490, traversed counter is 10
AVL Inserting 480298490, traversed counter is 289
BST Inserting 1398295499, traversed counter is 15
AVL Inserting 1398295499, traversed counter is 352
BST Inserting 1096689772, traversed counter is 12
AVL Inserting 1096689772, traversed counter is 12
BST Inserting 2086206725, traversed counter is 6
AVL Inserting 2086206725, traversed counter is 16
BST Inserting 601385644, traversed counter is 9
AVL Inserting 601385644, traversed counter is 267
BST Inserting 1172755590, traversed counter is 11
AVL Inserting 1172755590, traversed counter is 10
BST Inserting 1544617505, traversed counter is 10
AVL Inserting 1544617505, traversed counter is 378
BST Inserting 243268139, traversed counter is 11
AVL Inserting 243268139, traversed counter is 10
BST Inserting 1012502954, traversed counter is 9
AVL Inserting 1012502954, traversed counter is 387
BST Inserting 1272469786, traversed counter is 9
AVL Inserting 1272469786, traversed counter is 377
BST Inserting 2027907669, traversed counter is 8
AVL Inserting 2027907669, traversed counter is 346
BST Inserting 968338082, traversed counter is 12
AVL Inserting 968338082, traversed counter is 12
BST Inserting 722308542, traversed counter is 7
AVL Inserting 722308542, traversed counter is 384
BST Inserting 1820388464, traversed counter is 5
AVL Inserting 1820388464, traversed counter is 361
BST Inserting 933110197, traversed counter is 10
AVL Inserting 933110197, traversed counter is 17
BST Inserting 6939507, traversed counter is 6
AVL Inserting 6939507, traversed counter is 319
BST Inserting 740759355, traversed counter is 8
AVL Inserting 740759355, traversed counter is 400
BST Inserting 1285228804, traversed counter is 9
AVL Inserting 1285228804, traversed counter is 402
BST Inserting 1789376348, traversed counter is 9
AVL Inserting 1789376348, traversed counter is 12
BST Inserting 502278611, traversed counter is 10
AVL Inserting 502278611, traversed counter is 28
BST Inserting 1450573622, traversed counter is 14
AVL Inserting 1450573622, traversed counter is 412
BST Inserting 1037127828, traversed counter is 10
AVL Inserting 1037127828, traversed counter is 50
BST Inserting 1034949299, traversed counter is 10
AVL Inserting 1034949299, traversed counter is 11
BST Inserting 654887343, traversed counter is 9
AVL Inserting 654887343, traversed counter is 312
BST Inserting 1529195746, traversed counter is 13
AVL Inserting 1529195746, traversed counter is 12
BST Inserting 392035568, traversed counter is 11
AVL Inserting 392035568, traversed counter is 320
BST Inserting 1335354340, traversed counter is 9
AVL Inserting 1335354340, traversed counter is 423
BST Inserting 87755422, traversed counter is 15
AVL Inserting 87755422, traversed counter is 339
BST Inserting 889023311, traversed counter is 11
AVL Inserting 889023311, traversed counter is 451
BST Inserting 1494613810, traversed counter is 13
AVL Inserting 1494613810, traversed counter is 18
BST Inserting 1447267605, traversed counter is 15
AVL Inserting 1447267605, traversed counter is 18
BST Inserting 1369321801, traversed counter is 12
